รหัสรายการ,วันที่,ห้อง,ชื่อลูกค้า,จำนวนเงิน,ช่องทางชำระ,ไฟล์ต้นทาง
RCP000417,24/12/1967,A201,2,400.0,โอนบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000418,24/12/1967,B111,1,500.0,โอนบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000419,24/12/1967,B204,2,400.0,โอนบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000420,24/12/1967,B205,2,400.0,โอนบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000421,24/12/1967,N6,1,600.0,โอนบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000422,24/12/1967,N2,1,500.0,โอนบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000423,24/12/1967,N3,1,500.0,โอนบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000427,24/12/1967,A209,2,400.0,โอนบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000428,24/12/1967,A209,2,400.0,1307,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000429,24/12/1967,A210,2,400.0,โอนบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000430,24/12/1967,A210,2,400.0,1207,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000431,24/12/1967,B105,1,400.0,โอนบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000432,24/12/1967,B106,1,400.0,โอนบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000433,24/12/1967,B107,1,400.0,โอนบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000434,24/12/1967,B211,2,400.0,Ascend,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000047,24/01/2026,B106,1,400.0,โอนมัลติ,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000368,23/12/1968,A111,1,400.0,2282,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000369,23/12/1968,A103,1,400.0,2682,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000370,23/12/1968,A101,1,400.0,โอนบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000371,23/12/1968,A101,1,400.0,2582,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000372,23/12/1968,A209,2,400.0,2982,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000373,23/12/1968,A210,2,400.0,3382,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000374,23/12/1968,B205,2,400.0,3782,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000375,23/12/1968,B110,1,400.0,โอนบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000376,23/12/1968,N1,1,600.0,โอนบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000377,23/12/1968,B108,1,400.0,โอนบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000378,23/12/1968,B109,1,400.0,โอนบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000379,23/12/1968,N4,1,600.0,โอนบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000385,23/12/1968,A109,1,500.0,โอนบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000386,23/12/1968,A109,1,500.0,3082,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000387,23/12/1968,A105,1,400.0,2482,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000388,23/12/1968,A108,1,500.0,2982,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000389,23/12/1968,A202,2,400.0,4082,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000390,23/12/1968,A110,1,500.0,3482,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000393,23/12/1968,A203,2,400.0,โอนบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000394,23/12/1968,A203,2,400.0,4382,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000397,23/12/1968,B210,2,400.0,โอนบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000398,23/12/1968,B210,2,400.0,3982,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000399,23/12/1968,B211,2,400.0,โอนบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000400,23/12/1968,B211,2,400.0,3882,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000044,23/01/2026,B106,1,400.0,โอนมัลติ,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000045,23/01/2026,B107,1,400.0,โอนมัลติ,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000046,23/01/2026,B108,1,400.0,ไม่มีมัดจำ,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000366,22/12/1968,A111,1,400.0,1482,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000367,22/12/1968,A105,1,400.0,1882,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000043,22/01/2026,B106,1,400.0,โอนบัญชี,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000358,21/12/1968,A105,1,400.0,Ascend,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000359,21/12/1968,B110,1,400.0,โอนบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000360,21/12/1968,B110,1,400.0,2796,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000361,21/12/1968,N2,1,500.0,3296,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000362,21/12/1968,B106,1,400.0,3696,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000041,21/01/2026,A103,1,400.0,โอนบัญชี,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000042,21/01/2026,B106,1,400.0,โอนมัลติ,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000020,2026-12-01 00:00:00,A103,1,400.0,โอนมัลติ,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000076,2026-12-01 00:00:00,A108,1,500.0,Ascend,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000077,2026-12-01 00:00:00,A104,1,400.0,Not in source,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000078,2026-12-01 00:00:00,A105,1,400.0,Ascend,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000075,2026-11-01 00:00:00,B106,1,400.0,ไม่มีมัดจำ,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000018,2026-10-01 00:00:00,B106,1,400.0,โอนมัลติ,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000019,2026-10-01 00:00:00,B107,1,400.0,โอนมัลติ,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000074,2026-10-01 00:00:00,A105,1,400.0,Not in source,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000015,2026-09-01 00:00:00,B106,1,400.0,โอนมัลติ,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000016,2026-09-01 00:00:00,B107,1,400.0,โอนมัลติ,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000017,2026-09-01 00:00:00,B105,1,400.0,โอนมัลติ,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000072,2026-09-01 00:00:00,B107,1,400.0,Not in source,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000073,2026-09-01 00:00:00,A102,1,400.0,Not in source,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000071,2026-08-01 00:00:00,B104,1,400.0,Not in source,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000070,2026-07-01 00:00:00,B108,1,400.0,โอนมัลติ,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000013,2026-06-01 00:00:00,A104,1,400.0,โอนบัญชี,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000014,2026-06-01 00:00:00,B105,1,400.0,โอนมัลติ,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000066,2026-06-01 00:00:00,B103,1,400.0,Not in source,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000067,2026-06-01 00:00:00,B104,1,400.0,Not in source,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000068,2026-06-01 00:00:00,B107,1,400.0,Not in source,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000069,2026-06-01 00:00:00,B106,1,400.0,Not in source,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000061,2026-05-01 00:00:00,B107,1,400.0,Not in source,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000062,2026-05-01 00:00:00,B105,1,400.0,Not in source,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000063,2026-05-01 00:00:00,B106,1,400.0,Not in source,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000064,2026-05-01 00:00:00,B108,1,400.0,โอนมัลติ,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000065,2026-05-01 00:00:00,N2,1,500.0,ไม่มีมัดจำ,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000012,2026-04-01 00:00:00,N7,1,500.0,โอนบัญชี,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000006,2026-03-01 00:00:00,A111,1,400.0,โอนมัลติ,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000007,2026-03-01 00:00:00,N2,1,500.0,โอนมัลติ,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000008,2026-03-01 00:00:00,A104,1,400.0,โอนมัลติ,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000009,2026-03-01 00:00:00,B106,1,400.0,โอนมัลติ,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000010,2026-03-01 00:00:00,B105,1,400.0,โอนมัลติ,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000011,2026-03-01 00:00:00,A102,1,400.0,พัก 2 คืน,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000060,2026-03-01 00:00:00,A101,1,400.0,โอนบัญชี,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000059,2026-02-01 00:00:00,A101,1,400.0,โอนบัญชี,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000056,2026-01-02 00:00:00,B106,1,400.0,โอนมัลติ (ไม่มีมัดจำ),สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000057,2026-01-02 00:00:00,B107,1,400.0,โอนมัลติ,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000001,2026-01-01 00:00:00,B104,1,400.0,โอนบัญชี,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000002,2026-01-01 00:00:00,A105,1,400.0,โอนบัญชี,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000003,2026-01-01 00:00:00,B109,1,400.0,โอนบัญชี,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000004,2026-01-01 00:00:00,A103,1,400.0,โอนมัลติ,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000005,2026-01-01 00:00:00,A102,1,400.0,โอนมัลติ,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000058,2026-01-01 00:00:00,A101,1,400.0,โอนบัญชี,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000353,20/12/1968,B105,1,400.0,2678,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000040,20/01/2026,A105,1,400.0,โอนมัลติ,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000111,20/01/2026,B107,1,400.0,ชำระยอดค้าง,สรุปบัญชีรายรับรายจ่าย มกราคม ถึง กุมภาพันธ์ ๒๕๖๙
RCP000241,1968-12-12 00:00:00,A102,1,400.0,1259,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000242,1968-12-12 00:00:00,A105,1,400.0,1659,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000243,1968-12-12 00:00:00,A109,1,500.0,Ascend,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000244,1968-12-12 00:00:00,A108,1,500.0,Ascend,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000245,1968-12-12 00:00:00,A110,1,500.0,โอนเข้าบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000246,1968-12-12 00:00:00,A110,1,500.0,1559,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000247,1968-12-12 00:00:00,A103,1,400.0,1959,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000248,1968-12-12 00:00:00,B106,1,400.0,โอนเข้าบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000249,1968-12-12 00:00:00,B108,1,400.0,โอนเข้าบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000250,1968-12-12 00:00:00,B109,1,400.0,2359,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000251,1968-12-12 00:00:00,B109,1,400.0,2659,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000252,1968-12-12 00:00:00,B107,1,400.0,3059,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000253,1968-12-12 00:00:00,A104,1,400.0,3859,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000254,1968-12-12 00:00:00,B105,1,400.0,4259,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000255,1968-12-12 00:00:00,A101,1,400.0,4659,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP001011,1968-12-12 00:00:00,A102,1,400.0,1259,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP001012,1968-12-12 00:00:00,A105,1,400.0,1659,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP001013,1968-12-12 00:00:00,A109,1,500.0,Ascend,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP001014,1968-12-12 00:00:00,A108,1,500.0,Ascend,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP001015,1968-12-12 00:00:00,A110,1,500.0,โอนเข้าบัญชี,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP001016,1968-12-12 00:00:00,A110,1,500.0,1559,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP001017,1968-12-12 00:00:00,A103,1,400.0,1959,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP001018,1968-12-12 00:00:00,B106,1,400.0,โอนเข้าบัญชี,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP001019,1968-12-12 00:00:00,B108,1,400.0,โอนเข้าบัญชี,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP001020,1968-12-12 00:00:00,B109,1,400.0,2359,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP001021,1968-12-12 00:00:00,B109,1,400.0,2659,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP001022,1968-12-12 00:00:00,B107,1,400.0,3059,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP001023,1968-12-12 00:00:00,A104,1,400.0,3859,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP001024,1968-12-12 00:00:00,B105,1,400.0,4259,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP001025,1968-12-12 00:00:00,A101,1,400.0,4659,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000224,1968-11-12 00:00:00,B109,1,400.0,4629,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000225,1968-11-12 00:00:00,A105,1,400.0,-,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000227,1968-11-12 00:00:00,A105,1,400.0,3459,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000228,1968-11-12 00:00:00,B107,1,400.0,-,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000229,1968-11-12 00:00:00,B107,1,400.0,3359,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000230,1968-11-12 00:00:00,A111,1,400.0,-,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000231,1968-11-12 00:00:00,A111,1,400.0,3259,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000232,1968-11-12 00:00:00,N7,1,500.0,3759,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000233,1968-11-12 00:00:00,B106,1,400.0,-,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000234,1968-11-12 00:00:00,B106,1,400.0,3659,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000235,1968-11-12 00:00:00,B105,1,400.0,4059,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000236,1968-11-12 00:00:00,B108,1,400.0,-,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000237,1968-11-12 00:00:00,B108,1,400.0,3959,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000238,1968-11-12 00:00:00,A104,1,400.0,-,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000239,1968-11-12 00:00:00,A104,1,400.0,3859,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000994,1968-11-12 00:00:00,B109,1,400.0,4629,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000995,1968-11-12 00:00:00,A105,1,400.0,-,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000997,1968-11-12 00:00:00,A105,1,400.0,3459,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000998,1968-11-12 00:00:00,B107,1,400.0,-,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000999,1968-11-12 00:00:00,B107,1,400.0,3359,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP001000,1968-11-12 00:00:00,A111,1,400.0,-,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP001001,1968-11-12 00:00:00,A111,1,400.0,3259,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP001002,1968-11-12 00:00:00,N7,1,500.0,3759,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP001003,1968-11-12 00:00:00,B106,1,400.0,-,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP001004,1968-11-12 00:00:00,B106,1,400.0,3659,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP001005,1968-11-12 00:00:00,B105,1,400.0,4059,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP001006,1968-11-12 00:00:00,B108,1,400.0,-,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP001007,1968-11-12 00:00:00,B108,1,400.0,3959,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP001008,1968-11-12 00:00:00,A104,1,400.0,-,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP001009,1968-11-12 00:00:00,A104,1,400.0,3859,สมุดบัญชีรายรับและรายจ่ายรายวัน (1)
RCP000212,1968-10-12 00:00:00,A106,1,500.0,Ascend,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000213,1968-10-12 00:00:00,A107,1,500.0,Ascend,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000214,1968-10-12 00:00:00,B106,1,400.0,โอนเข้าบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000215,1968-10-12 00:00:00,B106,1,400.0,3129,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000216,1968-10-12 00:00:00,B109,1,400.0,3529,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000217,1968-10-12 00:00:00,N2,1,500.0,โอนเข้าบัญชี,2-3 สมุดบัญชีรายรับ-รายจ่าย
RCP000218,1968-10-12 00:00:00,N2,1,500.0,3329,2-3 สมุดบัญชีรายรับ-รายจ่าย
